#
#
# US Geological Survey
# retrieved: 2023-04-03 13:54:57 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2023-04-03 13:54:57 EDT
#
# there are 272 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
5s	15s	50s	16n	16n	1s	10s
USGS	01010000	St. John River at Ninemile Bridge, Maine	46.70055556	-69.71555560	S	NAD83
USGS	01010070	Big Black River near Depot Mtn, Maine	46.89388889	-69.75166670	S	NAD83
USGS	01010500	St. John River at Dickey, Maine	47.11305556	-69.08805560	S	NAD83
USGS	01011000	Allagash River near Allagash, Maine	47.06972220	-69.07944440	S	NAD83
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine	47.28333330	-68.58527778	S	NAD83
USGS	01015800	Aroostook River near Masardis, Maine	46.52305556	-68.37166670	S	NAD83
USGS	01019000	Grand Lake Stream at Grand Lake Stream, Maine	45.17250000	-67.76888889	S	NAD83
USGS	01021480	Old Stream near Wesley, Maine	44.93694440	-67.73611110	S	NAD83
USGS	01022500	Narraguagus River at Cherryfield, Maine	44.60805556	-67.93527778	S	NAD83
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME	45.93527778	-69.99361110	S	NAD83
USGS	01029200	Seboeis River near Shin Pond, Maine	46.14305556	-68.63361110	S	NAD83
USGS	01029500	East Branch Penobscot River at Grindstone, Maine	45.73027778	-68.58944440	S	NAD83
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine	45.50111110	-68.30583330	S	NAD83
USGS	01031300	Piscataquis River at Blanchard, Maine	45.26722220	-69.58388889	S	NAD83
USGS	01031500	Piscataquis River near Dover-Foxcroft, Maine	45.17500000	-69.31472220	S	NAD83
USGS	01034500	Penobscot River at West Enfield, Maine	45.23611110	-68.65138889	S	NAD83
USGS	01037380	Ducktrap River near Lincolnville, Maine	44.32916667	-69.06083330	S	NAD83
USGS	01038000	Sheepscot River at North Whitefield, Maine	44.22277778	-69.59388889	S	NAD83
USGS	01042500	Kennebec River at The Forks, Maine	45.33972220	-69.96194440	S	NAD83
USGS	01044550	Spencer Stream near Grand Falls, Maine	45.31361110	-70.24166670	S	NAD83
USGS	01046500	Kennebec River at Bingham, Maine	45.05194440	-69.88555560	S	NAD83
USGS	01047000	Carrabassett River near North Anson, Maine	44.86916667	-69.95500000	S	NAD83
USGS	01048000	Sandy River near Mercer, Maine	44.70805556	-69.93750000	S	NAD83
USGS	01053500	Androscoggin River at Errol, NH	44.78250000	-71.12861110	S	NAD83
USGS	01055000	Swift River near Roxbury, Maine	44.64277778	-70.58888889	S	NAD83
USGS	01057000	Little Androscoggin River near South Paris, Maine	44.30388889	-70.53972220	S	NAD83
USGS	01064500	Saco River near Conway, NH	43.99083330	-71.09055560	S	NAD83
USGS	01066000	Saco River at Cornish, Maine	43.80805556	-70.78166670	S	NAD83
USGS	01068910	Mousam River at Route 4 near Sanford, Maine	43.41833330	-70.73805560	5	NAD83
USGS	01104430	HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA	42.39815120	-71.27339030	S	NAD83
USGS	01104480	STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA	42.35565190	-71.26505650	S	NAD83
USGS	01115170	MOSWANSICUT STREAM NR NORTH SCITUATE, RI	41.84093269	-71.58450800	S	NAD83
USGS	01115187	PONAGANSET RIVER AT SOUTH FOSTER, RI	41.81871020	-71.70506770	S	NAD83
USGS	01119382	WILLIMANTIC RIVER AT MERROW RD. NEAR MERROW, CT	41.82401110	-72.31284720	H	NAD83
USGS	01305575	GREAT SOUTH BAY AT WATCH HILL ON FIRE ISLAND NY	40.69138889	-72.98969440	S	NAD83
USGS	01310740	REYNOLDS CHANNEL AT POINT LOOKOUT NY	40.59343660	-73.58373960	S	NAD83
USGS	01354330	MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY	42.82815830	-73.99037220	H	NAD83
USGS	01359165	HUDSON RIVER AT PORT OF ALBANY NY	42.61952778	-73.75891670	1	NAD83
USGS	0135980207	HUDSON RIVER NEAR SCHODACK LANDING NY	42.49961110	-73.77680560	1	NAD83
USGS	01376515	HUDSON RIVER AT PIER 84 AT NEW YORK NY	40.76463889	-74.00319440	1	NAD83
USGS	01376520	HUDSON RIVER AT PIER 25 AT NEW YORK NY	40.72152778	-74.01561110	1	NAD83
USGS	01411500	Maurice River at Norma NJ	39.49555556	-75.07694440	S	NAD83
USGS	01412800	Cohansey River at Seeley NJ	39.47250000	-75.25555560	S	NAD83
USGS	01413398	BUSH KILL NEAR ARKVILLE NY	42.15083330	-74.60138889	S	NAD83
USGS	01414000	PLATTE KILL AT DUNRAVEN NY	42.13305556	-74.69555560	S	NAD83
USGS	01434025	BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY	41.99608330	-74.50022220	1	NAD83
USGS	01434498	WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY	41.92041667	-74.57438889	1	NAD83
USGS	01435000	NEVERSINK RIVER NEAR CLARYVILLE NY	41.88994444	-74.58980560	1	NAD83
USGS	01440000	Flat Brook near Flatbrookville NJ	41.10611110	-74.95250000	S	NAD83
USGS	01455030	Lopatcong Creek at Allens Mills NJ	40.74027778	-75.12111110	S	NAD83
USGS	01455047	Lopatcong Creek tributary at Uniontown, NJ	40.71627778	-75.14019440	1	NAD83
USGS	01455290	Pohatcong Crk at Creek Rd nr Carpentersville NJ	40.63547220	-75.16863889	1	NAD83
USGS	01464500	Crosswicks Creek at Extonville NJ	40.13722220	-74.60000000	S	NAD83
USGS	01464504	Crosswicks Creek at Groveville Rd at Groveville NJ	40.16722220	-74.67750000	S	NAD83
USGS	01465850	South Branch Rancocas Creek at Vincentown NJ	39.94000000	-74.76305560	S	NAD83
USGS	0146587310	Haynes C at Tuckerton Rd at Lake Pine NJ	39.86772220	-74.84175000	1	NAD83
USGS	01465880	Southwest Branch Rancocas Creek at Medford NJ	39.89527778	-74.82361110	S	NAD83
USGS	01466500	McDonalds Branch in Byrne State Forest NJ	39.88500000	-74.50527778	S	NAD83
USGS	01466900	Greenwood Branch at New Lisbon NJ	39.95611110	-74.62777778	S	NAD83
USGS	01467000	North Branch Rancocas Creek at Pemberton NJ	39.97000000	-74.68444440	S	NAD83
USGS	01467005	NB Rancocas C at Iron Works Park at Mount Holly NJ	39.99305556	-74.78138889	S	NAD83
USGS	01467081	South Branch Pennsauken Creek at Cherry Hill NJ	39.94166667	-75.00111110	S	NAD83
USGS	01475001	Mantua Creek at East Holly Avenue at Pitman NJ	39.73888889	-75.11444440	S	NAD83
USGS	01477070	Raccoon Creek at Wrights Mill NJ	39.68611110	-75.18444440	S	NAD83
USGS	0164579522	THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA	38.92560000	-77.32933889	1	NAD83
USGS	02198820	ABERCORN CREEK AT MOUTH NEAR SAVANNAH, GA	32.24916667	-81.15361110	S	NAD83
USGS	021989773	SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA	32.08041667	-81.08136110	1	NAD83
USGS	0219897993	SAVANNAH RIVER AT ELBA ISLAND, NEAR SAVANNAH, GA	32.10305556	-81.00694440	S	NAD83
USGS	02203536	OGEECHEE RIVER AT US 17, NEAR RICHMOND HILL, GA	31.97697220	-81.28786110	1	NAD83
