#
#
# US Geological Survey
# retrieved: 2023-04-03 12:39:28 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2023-04-03 12:39:28 EDT
#
# there are 803 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
5s	15s	50s	16n	16n	1s	10s
USGS	01021050	St. Croix River at Milltown, Maine	45.17000000	-67.29666670	5	NAD83
USGS	011008745	MERRIMACK R ESTUARY US OF SHAD CRK, SALISBURY, MA	42.81930000	-70.83900000	1	NAD83
USGS	01104425	HOBBS BRK AT TRAPELO RD AT LINCOLN, MA	42.42166667	-71.27111110	S	NAD83
USGS	01104430	HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA	42.39815120	-71.27339030	S	NAD83
USGS	01108000	TAUNTON RIVER NEAR BRIDGEWATER, MA	41.93399030	-70.95643070	S	NAD83
USGS	01108410	MILL RIVER AT SPRING STREET AT TAUNTON, MA	41.89982320	-71.08948970	S	NAD83
USGS	01125100	FRENCH RIVER AT NORTH GROSVENORDALE, CT	41.97846389	-71.90051389	H	NAD83
USGS	01127500	YANTIC RIVER AT YANTIC, CT	41.55870940	-72.12146660	U	NAD83
USGS	01127768	THAMES R AT GROTON, CT.	41.34870948	-72.08202040	U	NAD83
USGS	01161280	CONNECTICUT RIVER NEAR NORTHFIELD, MA	42.68333330	-72.47194440	U	NAD83
USGS	01184000	CONNECTICUT RIVER AT THOMPSONVILLE, CT	41.98731860	-72.60536690	S	NAD83
USGS	01184490	BROAD BROOK AT BROAD BROOK, CT	41.91389720	-72.54970000	H	NAD83
USGS	01191000	NORTH BRANCH PARK RIVER AT HARTFORD, CT	41.78443889	-72.70805560	H	NAD83
USGS	01193050	CONNECTICUT RIVER AT MIDDLE HADDAM, CT	41.54176560	-72.55314540	U	NAD83
USGS	01194750	CONNECTICUT RIVER AT ESSEX, CT	41.35148330	-72.38436670	H	NAD83
USGS	01194796	CONNECTICUT RIVER AT OLD LYME, CT	41.31259830	-72.34591660	S	NAD83
USGS	01196500	QUINNIPIAC RIVER AT WALLINGFORD, CT	41.45026389	-72.84127500	H	NAD83
USGS	01201487	STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT	41.46582220	-73.40320278	H	NAD83
USGS	01208837	HOUSATONIC RIVER NR NELLS ISLAND NR STRATFORD, CT	41.18843330	-73.12125278	1	NAD83
USGS	01208873	ROOSTER RIVER AT FAIRFIELD, CT	41.17981890	-73.21900219	S	NAD83
USGS	01302020	BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY	40.86230556	-73.87438889	1	NAD83
USGS	01304057	FLAX POND AT OLD FIELD NY	40.96286110	-73.14316670	1	NAD83
USGS	01304200	ORIENT HARBOR AT ORIENT NY	41.13663889	-72.30675000	1	NAD83
USGS	01304562	PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY	40.91777778	-72.63866670	1	NAD83
USGS	01304650	SHELTER ISLAND SOUND AT SHELTER ISLAND NY	41.04430556	-72.31697220	1	NAD83
USGS	01310740	REYNOLDS CHANNEL AT POINT LOOKOUT NY	40.59343660	-73.58373960	S	NAD83
USGS	01311143	HOG ISLAND CHANNEL AT ISLAND PARK NY	40.60883330	-73.65611110	1	NAD83
USGS	01342732	MOHAWK RIVER AT ILION NY	43.01975000	-75.02847220	1	NAD83
USGS	01354330	MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY	42.82815830	-73.99037220	H	NAD83
USGS	01355475	MOHAWK RIVER AT REXFORD NY	42.85111110	-73.88725000	1	NAD83
USGS	0135749950	MOHAWK RIVER DIVERSION TO POWER PLANT AT COHOES NY	42.78569444	-73.71041670	1	NAD83
USGS	01359165	HUDSON RIVER AT PORT OF ALBANY NY	42.61952778	-73.75891670	1	NAD83
USGS	0135980207	HUDSON RIVER NEAR SCHODACK LANDING NY	42.49961110	-73.77680560	1	NAD83
USGS	01372043	HUDSON RIVER NEAR POUGHKEEPSIE NY	41.72176015	-73.94069299	S	NAD83
USGS	01374019	HUDSON RIVER AT SOUTH DOCK AT WEST POINT NY	41.38620490	-73.95513879	S	NAD83
USGS	01376269	HUDSON RIVER AT PIERMONT NY	41.04319444	-73.89605560	1	NAD83
USGS	01376307	HUDSON RIVER AT WATER GRANT STREET AT YONKERS NY	40.93625000	-73.90430560	1	NAD83
USGS	01376515	HUDSON RIVER AT PIER 84 AT NEW YORK NY	40.76463889	-74.00319440	1	NAD83
USGS	01376520	HUDSON RIVER AT PIER 25 AT NEW YORK NY	40.72152778	-74.01561110	1	NAD83
USGS	01388000	Ramapo River at Pompton Lakes NJ	40.99194444	-74.28000000	1	NAD83
USGS	01389005	Passaic River below Pompton Riv at Two Bridges NJ	40.89638889	-74.26916670	S	NAD83
USGS	01400500	Raritan River at Manville NJ	40.55555556	-74.58277778	S	NAD83
USGS	01412350	Delaware Bay at Ship John Shoal Lighthouse NJ	39.30541667	-75.37655560	S	NAD83
USGS	01427207	DELAWARE RIVER AT LORDVILLE NY	41.86727778	-75.21375000	1	NAD83
USGS	01427510	DELAWARE RIVER AT CALLICOON NY	41.75675000	-75.05741670	1	NAD83
USGS	01433005	MONGAUP R BELOW SWINGING BRIDGE RESERVOIR NY	41.56727778	-74.78327778	1	NAD83
USGS	01433500	MONGAUP RIVER NEAR MONGAUP NY	41.46122220	-74.75877778	1	NAD83
USGS	01438500	Delaware River at Montague NJ	41.30916667	-74.79527778	S	NAD83
USGS	01454700	Lehigh River at Glendon, PA	40.66926560	-75.23628808	S	NAD83
USGS	01458500	Delaware River at Frenchtown NJ	40.52611110	-75.06500000	S	NAD83
USGS	01463500	Delaware River at Trenton NJ	40.22166667	-74.77805560	S	NAD83
USGS	01465798	Poquessing Creek at Grant Ave. at Philadelphia, PA	40.05705567	-74.98516940	S	NAD83
USGS	014670261	Delaware River at Pennypack Woods PA	40.03850000	-74.99361110	T	NAD83
USGS	01467042	Pennypack Creek at Pine Road, at Philadelphia, PA	40.08983289	-75.06906110	S	NAD83
USGS	01467048	Pennypack Cr at Lower Rhawn St Bdg, Phila., PA	40.05011137	-75.03267130	S	NAD83
USGS	01467086	Tacony Creek ab Adams Avenue, Philadelphia, PA	40.04261157	-75.11211910	S	NAD83
USGS	01467087	Frankford Creek at Castor Ave, Philadelphia, PA	40.01594540	-75.09684110	S	NAD83
USGS	01467200	Delaware River at Penn's Landing, Philadelphia, PA	39.95400165	-75.13739870	S	NAD83
USGS	01473500	Schuylkill River at Norristown, PA	40.11555556	-75.35611110	S	NAD83
USGS	01474000	Wissahickon Creek at Mouth, Philadelphia, PA	40.01539000	-75.20684590	S	NAD83
USGS	01474500	Schuylkill River at Philadelphia, PA	39.96789050	-75.18851230	S	NAD83
USGS	01475530	Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA	39.97483455	-75.27990670	S	NAD83
USGS	01475548	Cobbs Creek at Mt. Moriah Cemetery, Philadelphia	39.93278610	-75.23763610	H	NAD83
USGS	01477050	DELAWARE RIVER AT CHESTER PA	39.83677934	-75.36630199	S	NAD83
USGS	01480065	CHRISTINA RIVER AT NEWPORT, DE	39.71063889	-75.60872220	S	NAD83
USGS	01480617	West Branch Brandywine Creek at Modena, PA	39.96177340	-75.80133410	S	NAD83
USGS	01480870	East Branch Brandywine Creek below Downingtown, PA	39.96871910	-75.67327150	S	NAD83
USGS	01481000	Brandywine Creek at Chadds Ford, PA	39.86983280	-75.59326230	S	NAD83
USGS	01481500	BRANDYWINE CREEK AT WILMINGTON, DE	39.76950000	-75.57669440	1	NAD83
USGS	01482100	DELAWARE RIVER AT DEL MEM BRIDGE AT WILMINGTON DE	39.68927997	-75.52158800	S	NAD83
USGS	01482800	Delaware River at Reedy Island Jetty, DE	39.50094540	-75.56825890	S	NAD83
USGS	01483177	APPOQUINIMINK RIVER NEAR ODESSA, DE	39.46594444	-75.61352778	S	NAD83
USGS	01484080	MURDERKILL RIVER AT FREDERICA, DE	39.01050000	-75.45830560	1	NAD83
USGS	01484272	BROADKILL RIVER NEAR MILTON, DE	38.79100000	-75.25077778	S	NAD83
USGS	01484525	MILLSBORO POND OUTLET AT MILLSBORO, DE	38.59455556	-75.29102778	S	NAD83
