#
#
# US Geological Survey
# retrieved: 2023-03-18 11:59:25 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2023-03-18 11:59:25 EDT
#
# there are 2950 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
5s	15s	50s	16n	16n	1s	10s
USGS	00430061	HURON WELL FIELD SITE SD99 NTN	44.35498509	-98.29120250	M	NAD83
USGS	01064801	BEARCAMP RIVER AT SOUTH TAMWORTH, NH	43.83007396	-71.28784880	S	NAD83
USGS	01073587	EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH	42.98453160	-71.03839200	S	NAD83
USGS	01075000	PEMIGEWASSET RIVER AT WOODSTOCK, NH	43.97617920	-71.67952440	S	NAD83
USGS	01095220	STILLWATER RIVER NEAR STERLING, MA	42.41092507	-71.79118290	S	NAD83
USGS	01095375	QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA	42.37286967	-71.82812790	S	NAD83
USGS	01100505	SPICKET RIVER AT NORTH SALEM, NH	42.84925470	-71.21506070	S	NAD83
USGS	01100568	SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA	42.46703909	-71.27227950	S	NAD83
USGS	01102500	ABERJONA RIVER AT WINCHESTER, MA	42.44745680	-71.13808160	H	NAD83
USGS	01104430	HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA	42.39815120	-71.27339030	S	NAD83
USGS	01104480	STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA	42.35565190	-71.26505650	S	NAD83
USGS	01104683	MUDDY RIVER AT BROOKLINE, MA	42.33731970	-71.11116328	S	NAD83
USGS	01105584	TOWN BROOK AT DIVERSION TUNNEL AT QUINCY, MA	42.24444444	-71.00444440	S	NAD83
USGS	01115170	MOSWANSICUT STREAM NR NORTH SCITUATE, RI	41.84093269	-71.58450800	S	NAD83
USGS	01115187	PONAGANSET RIVER AT SOUTH FOSTER, RI	41.81871020	-71.70506770	S	NAD83
USGS	01118300	PENDLETON HILL BROOK NEAR CLARKS FALLS, CT	41.47482220	-71.83423610	H	NAD83
USGS	01119382	WILLIMANTIC RIVER AT MERROW RD. NEAR MERROW, CT	41.82401110	-72.31284720	H	NAD83
USGS	01120790	NATCHAUG RIVER AT MARCY RD. NEAR CHAPLIN, CT	41.81616944	-72.10616940	H	NAD83
USGS	01127500	YANTIC RIVER AT YANTIC, CT	41.55870940	-72.12146660	U	NAD83
USGS	01139800	EAST ORANGE BRANCH AT EAST ORANGE, VT	44.09284190	-72.33565327	S	NAD83
USGS	01142500	AYERS BROOK AT RANDOLPH, VT	43.93450969	-72.65788210	S	NAD83
USGS	01150900	OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT	43.62229069	-72.75898990	S	NAD83
USGS	01184100	STONY BROOK NEAR WEST SUFFIELD, CT	41.96083889	-72.71048610	H	NAD83
USGS	01192883	COGINCHAUG RIVER AT MIDDLEFIELD, CT	41.52023330	-72.70653060	H	NAD83
USGS	01193500	SALMON RIVER NEAR EAST HAMPTON, CT	41.55232124	-72.44925287	U	NAD83
USGS	01194500	EAST BRANCH EIGHTMILE RIVER NEAR NORTH LYME, CT	41.42751667	-72.33477778	H	NAD83
USGS	01195490	QUINNIPIAC RIVER AT SOUTHINGTON, CT	41.60347220	-72.88320000	H	NAD83
USGS	01196500	QUINNIPIAC RIVER AT WALLINGFORD, CT	41.45026389	-72.84127500	H	NAD83
USGS	01199000	HOUSATONIC RIVER AT FALLS VILLAGE, CT	41.95731548	-73.36928577	U	NAD83
USGS	01200000	TENMILE RIVER NEAR GAYLORDSVILLE, CT	41.65876389	-73.52868330	H	NAD83
USGS	01201487	STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT	41.46582220	-73.40320278	H	NAD83
USGS	01202501	SHEPAUG RIVER AT PETERS DAM AT WOODVILLE, CT	41.71957500	-73.29260278	H	NAD83
USGS	01203805	WEEKEEPEEMEE RIVER AT HOTCHKISSVILLE, CT	41.55770830	-73.21535278	H	NAD83
USGS	01208950	SASCO BROOK NEAR SOUTHPORT, CT	41.15287436	-73.30594950	S	NAD83
USGS	01305575	GREAT SOUTH BAY AT WATCH HILL ON FIRE ISLAND NY	40.69138889	-72.98969440	S	NAD83
USGS	01310740	REYNOLDS CHANNEL AT POINT LOOKOUT NY	40.59343660	-73.58373960	S	NAD83
USGS	01354330	MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY	42.82815830	-73.99037220	H	NAD83
USGS	01359165	HUDSON RIVER AT PORT OF ALBANY NY	42.61952778	-73.75891670	1	NAD83
USGS	0135980207	HUDSON RIVER NEAR SCHODACK LANDING NY	42.49961110	-73.77680560	1	NAD83
USGS	01376515	HUDSON RIVER AT PIER 84 AT NEW YORK NY	40.76463889	-74.00319440	1	NAD83
USGS	01376520	HUDSON RIVER AT PIER 25 AT NEW YORK NY	40.72152778	-74.01561110	1	NAD83
USGS	01428750	West Branch Lackawaxen River near Aldenville, PA	41.67452998	-75.37601299	S	NAD83
USGS	01429000	West Branch Lackawaxen River at Prompton, PA	41.58730898	-75.32684490	S	NAD83
USGS	01429500	Dyberry Creek near Honesdale, PA	41.60731040	-75.26712048	S	NAD83
USGS	01430000	Lackawaxen River near Honesdale, PA	41.56203315	-75.24795340	S	NAD83
USGS	01431500	Lackawaxen River at Hawley, PA	41.47620020	-75.17211860	S	NAD83
USGS	01434498	WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY	41.92041667	-74.57438889	1	NAD83
USGS	01435000	NEVERSINK RIVER NEAR CLARYVILLE NY	41.88994444	-74.58980560	1	NAD83
USGS	01447500	Lehigh River at Stoddartsville, PA	41.13036260	-75.62546700	S	NAD83
USGS	01447720	Tobyhanna Creek near Blakeslee, PA	41.08480820	-75.60546660	S	NAD83
USGS	01447780	Francis E. Walter Reservoir near White Haven, PA	41.11258400	-75.72046930	S	NAD83
USGS	01449000	Lehigh River at Lehighton, PA	40.82925870	-75.70518938	S	NAD83
USGS	01449360	Pohopoco Creek at Kresgeville, PA	40.89759190	-75.50240770	S	NAD83
USGS	01449790	Beltzville Lake near Parryville, PA	40.84898086	-75.63824360	S	NAD83
USGS	01451000	Lehigh River at Walnutport, PA	40.75703950	-75.60296388	S	NAD83
USGS	01453000	Lehigh River at Bethlehem, PA	40.61537610	-75.37879140	S	NAD83
USGS	01468500	Schuylkill River at Landingville, PA	40.62925770	-76.12466220	S	NAD83
USGS	01469500	Little Schuylkill River at Tamaqua, PA	40.80703327	-75.97187089	S	NAD83
USGS	01470500	Schuylkill River at Berne, PA	40.52259320	-75.99826819	S	NAD83
USGS	01470870	Blue Marsh Lake near Bernville, PA	40.37925936	-76.03271630	S	NAD83
USGS	01471510	Schuylkill River at Reading, PA	40.33163889	-75.93866670	S	NAD83
USGS	01472000	Schuylkill River at Pottstown, PA	40.24176310	-75.65157520	S	NAD83
USGS	01473000	Perkiomen Creek at Graterford, PA	40.22954725	-75.45156700	S	NAD83
USGS	01473169	Valley Creek at PA Turnpike Br near Valley Forge	40.07927367	-75.46074808	S	NAD83
USGS	01473500	Schuylkill River at Norristown, PA	40.11555556	-75.35611110	S	NAD83
USGS	01474500	Schuylkill River at Philadelphia, PA	39.96789050	-75.18851230	S	NAD83
USGS	01480399	Chambers Lake near Wagontown, PA	40.02788158	-75.85050060	1	NAD83
USGS	01480617	West Branch Brandywine Creek at Modena, PA	39.96177340	-75.80133410	S	NAD83
USGS	01480870	East Branch Brandywine Creek below Downingtown, PA	39.96871910	-75.67327150	S	NAD83
USGS	01481000	Brandywine Creek at Chadds Ford, PA	39.86983280	-75.59326230	S	NAD83
USGS	01494850	East Branch Big Elk Creek at Forestville, PA	39.82233060	-75.89688830	S	NAD83
USGS	01499500	EAST SIDNEY LAKE AT EAST SIDNEY NY	42.32785936	-75.22794920	S	NAD83
USGS	01510000	OTSELIC RIVER AT CINCINNATUS NY	42.54111110	-75.89972220	S	NAD83
USGS	01511000	WHITNEY POINT LAKE AT WHITNEY POINT NY	42.34285130	-75.96547780	S	NAD83
USGS	01516350	Tioga River near Mansfield, PA	41.79701830	-77.08024570	S	NAD83
USGS	01518420	Crooked Cr bl Catlin Hollow at Middlebury Center	41.84257300	-77.27330909	S	NAD83
USGS	01519200	Cowanesque River at Elkland, PA	41.98757280	-77.30220140	S	NAD83
USGS	01519995	Cowanesque Lake at Lawrenceville, PA	41.98479599	-77.15108390	S	NAD83
USGS	01521000	ARKPORT RESERVOIR NEAR ARKPORT NY	42.39590205	-77.71860480	S	NAD83
USGS	01523000	ALMOND LAKE NEAR ALMOND NY	42.34895820	-77.70249279	S	NAD83
USGS	01534000	Tunkhannock Creek near Tunkhannock, PA	41.55841008	-75.89464168	S	NAD83
USGS	01534180	Stillwater Lake near Forest City, PA	41.69619400	-75.48573929	S	NAD83
USGS	01534490	Aylesworth Creek Lake at Jermyn, PA	41.52230400	-75.52962950	S	NAD83
USGS	01541180	Curwensville Lake near Curwensville, PA	40.95366960	-78.52752420	S	NAD83
USGS	01543900	First Fork Sinnemahoning Creek Reservoir	41.40700836	-78.01916720	S	NAD83
USGS	01544800	Kettle Cr Lake at Kettle Cr Dam near Westport, PA	41.36034240	-77.92388470	S	NAD83
USGS	01547480	Foster Joseph Sayers Lake near Blanchard, PA	41.04811998	-77.60943830	S	NAD83
USGS	01548500	Pine Creek at Cedar Run, PA	41.52173586	-77.44747980	S	NAD83
USGS	01552000	Loyalsock Creek at Loyalsockville, PA	41.32507836	-76.91246379	5	NAD83
USGS	01553005	Muncy Creek near Muncy, PA	41.20758197	-76.75218060	S	NAD83
USGS	01553240	W Br Susquehanna River at West Milton, PA	41.01869590	-76.86496370	S	NAD83
USGS	01556000	Frankstown Br Juniata River at Williamsburg, PA	40.46312830	-78.19973200	S	NAD83
USGS	01559000	Juniata River at Huntingdon, PA	40.48479580	-78.01889269	S	NAD83
USGS	01563100	Raystown Lake near Huntingdon, PA	40.43507480	-78.00666970	S	NAD83
USGS	01568000	Sherman Creek at Shermans Dale, PA	40.32341928	-77.16887030	S	NAD83
USGS	01570500	Susquehanna River at Harrisburg, PA	40.25481164	-76.88608460	S	NAD83
USGS	01573710	Conewago Creek near Falmouth, PA	40.14930556	-76.68775000	1	NAD83
USGS	01574700	Indian Rock Dam near York, PA	39.92287694	-76.75357978	S	NAD83
USGS	01576500	Conestoga River at Lancaster, PA	40.05009748	-76.27717980	S	NAD83
USGS	01581753	ATKISSON RESERVOIR NEAR BEL AIR, MD	39.48552778	-76.34463889	1	NAD83
USGS	01603000	NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD	39.62180556	-78.77341670	S	NAD83
USGS	01642198	CARROLL CREEK NEAR FREDERICK, MD	39.43602778	-77.44058330	S	NAD83
USGS	01652500	FOURMILE RUN AT ALEXANDRIA, VA	38.84333330	-77.08586110	1	NAD83
USGS	01661350	MCINTOSH RUN NEAR LEONARDTOWN, MD	38.30405556	-76.65655560	S	NAD83
USGS	0203667630	WELLESLEY LAKE AT DAM AT SHORT PUMP, VA	37.64527778	-77.62594440	1	NAD83
USGS	0203668612	CANTERBURY LK AT TUCKAHOE VILLAGE, VA	37.60244444	-77.60613889	B	NAD83
USGS	0204225968	WYNDHAM LAKE AT DAM AT WYNDHAM VA	37.69805556	-77.60683330	1	NAD83
USGS	0204226163	WATERFRONT LAKE AT COX RD AT INNSBROOK, VA	37.66147220	-77.57519440	1	NAD83
USGS	0204226958	ECHO LAKE AT DAM NR GLEN ALLEN, VA	37.67438889	-77.54752778	1	NAD83
USGS	0204288721	EB ELIZABETH RIVER AT RT 165 AT VIRGINIA BEACH, VA	36.82737040	-76.16521380	S	NAD83
USGS	0204291317	THALIA CREEK AT ROUTE 58 AT THALIA, VA	36.84330556	-76.12447220	1	NAD83
USGS	0204292275	LYNNHAVEN RIVER INLET NEAR VIRGINIA BEACH, VA	36.90661110	-76.09558330	S	NAD83
USGS	02042928	BYPASS CANAL AT INTL PARKWAY NEAR MAPLETON, VA	36.81577778	-76.06091670	1	NAD83
USGS	0204293125	LONDON BRIDGE CREEK AT RT 58 AT VIRGINIA BEACH, VA	36.84113889	-76.05713889	1	NAD83
USGS	0204295505	LITTLE NECK CREEK AT PINEWOOD RD AT VA BEACH, VA	36.85927778	-75.98447220	1	NAD83
USGS	0204297575	LAKE RUDEE NEAR BELLS ROAD AT VIRGINIA BEACH, VA	36.82477778	-75.98525000	1	NAD83
USGS	0204300267	BEGGARS BRIDGE CREEK NEAR DAWLEY CORNERS, VA	36.67980556	-75.98400000	1	NAD83
USGS	02043269	NORTH LANDING RIVER AT MARINA NEAR CREEDS, VA	36.61816667	-76.04633330	1	NAD83
USGS	02050000	BLACKWATER RIVER AT HWYS 58/258 AT FRANKLIN, VA	36.68042849	-76.91829400	S	NAD83
USGS	0205551460	LICK RUN ABOVE PATTON AVENUE AT ROANOKE, VA	37.27794444	-79.93755560	1	NAD83
USGS	02066000	ROANOKE (STAUNTON) RIVER AT RANDOLPH, VA	36.91514189	-78.74083840	U	NAD83
USGS	02069000	DAN RIVER AT PINE HALL, NC	36.31930349	-80.05004240	S	NAD83
USGS	02071900	PHILPOTT RES AT PHILPOTT DAM NR PHILPOTT, VA	36.78124800	-80.02754260	U	NAD83
USGS	02079241	ISLAND CREEK RESERVOIR AT DAM NEAR CLARKSVILLE, VA	36.54903120	-78.46638740	S	NAD83
USGS	02079490	JOHN H. KERR RESERVOIR AT DAM NEAR BOYDTON, VA	36.59847608	-78.29888540	U	NAD83
USGS	02082585	TAR RIVER AT NC 97 AT ROCKY MOUNT, NC	35.95472220	-77.78722220	S	NAD83
USGS	02084000	TAR RIVER AT GREENVILLE, NC	35.61666667	-77.37277778	S	NAD83
USGS	0208706575	BEAVERDAM CREEK AT DAM NEAR CREEDMOOR, NC	36.02361110	-78.68916670	S	NAD83
USGS	02087182	FALLS LAKE ABOVE DAM NR FALLS, NC	35.94111110	-78.58333330	S	NAD83
USGS	02087275	CRABTREE CREEK AT HWY 70 AT RALEIGH, NC	35.83805556	-78.67416670	S	NAD83
USGS	02087322	CRABTREE CR AT OLD WAKE FOREST RD AT RALEIGH, NC	35.81583330	-78.62611110	S	NAD83
USGS	0208732885	MARSH CREEK NEAR NEW HOPE, NC	35.81694444	-78.59305560	S	NAD83
USGS	0208735012	ROCKY BRANCH BELOW PULLEN ROAD AT RALEIGH, NC	35.78000000	-78.66638889	S	NAD83
USGS	02087359	WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC	35.75833330	-78.58305560	S	NAD83
USGS	02087580	SWIFT CREEK NEAR APEX, NC	35.71888889	-78.75222220	S	NAD83
USGS	02093800	REEDY FORK NEAR OAK RIDGE, NC	36.17250000	-79.95277780	S	NAD83
USGS	0209399200	HORSEPEN CREEK AT US 220 NR GREENSBORO, NC	36.13777778	-79.86000000	S	NAD83
USGS	02094659	SOUTH BUFFALO CREEK NR POMONA, NC	36.04944444	-79.85527780	S	NAD83
USGS	02094770	SOUTH BUFFALO CREEK AT US 220 AT GREENSBORO, NC	36.03805556	-79.79972220	S	NAD83
USGS	02094775	RYAN CREEK BELOW US 220 AT GREENSBORO, NC	36.03111110	-79.79611110	S	NAD83
USGS	02095000	SOUTH BUFFALO CR NEAR GREENSBORO, NC	36.06000000	-79.72583330	S	NAD83
USGS	02095181	N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC	36.07916667	-79.81277780	S	NAD83
USGS	02095271	NORTH BUFFALO CREEK AT CHURCH ST AT GREENSBORO, NC	36.09777778	-79.78250000	S	NAD83
USGS	02095500	NORTH BUFFALO CREEK NEAR GREENSBORO, NC	36.12055556	-79.70805560	S	NAD83
USGS	0209553650	BUFFALO CREEK AT SR2819 NR MCLEANSVILLE, NC	36.12805556	-79.66166670	S	NAD83
USGS	02096500	HAW RIVER AT HAW RIVER, NC	36.08722220	-79.36611110	S	NAD83
USGS	0209725960	THIRD FORK CREEK AT M.L. KING PARKWAY AT DURHAM,NC	35.95118056	-78.92694170	S	NAD83
USGS	02098197	 B. EVERETT JORDAN LAKE AT DAM NR MONCURE, NC	35.65472220	-79.06833330	S	NAD83
USGS	02102908	FLAT CREEK NEAR INVERNESS, NC	35.18277778	-79.17750000	S	NAD83
USGS	02105500	CAPE FEAR R AT WILM O HUSKE LOCK NR TARHEEL, NC	34.83555556	-78.82361110	S	NAD83
USGS	02105769	CAPE FEAR R AT LOCK #1 NR KELLY, NC	34.40444444	-78.29361110	S	NAD83
