#
#
# US Geological Survey
# retrieved: 2023-04-03 12:38:49 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2023-04-03 12:38:49 EDT
#
# there are 192 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
5s	15s	50s	16n	16n	1s	10s
USGS	01434000	DELAWARE RIVER AT PORT JERVIS NY	41.37064930	-74.69738530	S	NAD83
USGS	0148472405	BUNTINGS GUT NEAR CEDARTOWN, MD	38.13897220	-75.18363889	1	NAD83
USGS	01484746	CHINCOTEAGUE BAY INLET AT CHINCOTEAGUE, VA	37.90238889	-75.40788889	1	NAD83
USGS	0204288721	EB ELIZABETH RIVER AT RT 165 AT VIRGINIA BEACH, VA	36.82737040	-76.16521380	S	NAD83
USGS	0204291317	THALIA CREEK AT ROUTE 58 AT THALIA, VA	36.84330556	-76.12447220	1	NAD83
USGS	02042928	BYPASS CANAL AT INTL PARKWAY NEAR MAPLETON, VA	36.81577778	-76.06091670	1	NAD83
USGS	0204293125	LONDON BRIDGE CREEK AT RT 58 AT VIRGINIA BEACH, VA	36.84113889	-76.05713889	1	NAD83
USGS	0204295505	LITTLE NECK CREEK AT PINEWOOD RD AT VA BEACH, VA	36.85927778	-75.98447220	1	NAD83
USGS	0204297575	LAKE RUDEE NEAR BELLS ROAD AT VIRGINIA BEACH, VA	36.82477778	-75.98525000	1	NAD83
USGS	0204300267	BEGGARS BRIDGE CREEK NEAR DAWLEY CORNERS, VA	36.67980556	-75.98400000	1	NAD83
USGS	02043269	NORTH LANDING RIVER AT MARINA NEAR CREEDS, VA	36.61816667	-76.04633330	1	NAD83
USGS	02168500	LAKE MURRAY NEAR COLUMBIA, SC	34.05209300	-81.22065329	F	NAD83
USGS	02187010	HARTWELL LAKE NEAR ANDERSON, SC	34.50833330	-82.85527780	S	NAD83
USGS	02188100	RUSSELL LAKE ABOVE CALHOUN FALLS, SC	34.10111110	-82.61805560	S	NAD83
USGS	02193900	THURMOND LAKE NEAR PLUM BRANCH, SC	33.84166667	-82.34500000	S	NAD83
USGS	02198820	ABERCORN CREEK AT MOUTH NEAR SAVANNAH, GA	32.24916667	-81.15361110	S	NAD83
USGS	021989773	SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA	32.08041667	-81.08136110	1	NAD83
USGS	0219897993	SAVANNAH RIVER AT ELBA ISLAND, NEAR SAVANNAH, GA	32.10305556	-81.00694440	S	NAD83
USGS	02203536	OGEECHEE RIVER AT US 17, NEAR RICHMOND HILL, GA	31.97697220	-81.28786110	1	NAD83
USGS	022035975	HUDSON CREEK AT MERIDIAN LANDING, NEAR MERIDIAN,GA	31.45333333	-81.36277780	S	NAD83
USGS	02207414	RANDY POYNTER LAKE AT SPILLWAY, NEAR MILSTEAD, GA	33.73027778	-83.93638889	S	NAD83
USGS	02226180	BRUNSWICK RIVER AT ST. SIMONS ISLAND, GA	31.12675000	-81.40213889	1	NAD83
USGS	02228295	CUMBERLAND SOUND AT SEA CAMP DOCK, NR ST MARYS, GA	30.76433333	-81.47136110	S	NAD83
USGS	02317500	ALAPAHA RIVER AT STATENVILLE, GA	30.70383333	-83.03266670	1	NAD83
USGS	02327500	OCHLOCKONEE RIVER NEAR THOMASVILLE, GA	30.87583333	-84.04677780	1	NAD83
