,index,agency_cd,site_no,station_nm,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,parameter_code
0,1,USGS,01010070,"Big Black River near Depot Mtn, Maine",46.89388889,-69.75166670,S,NAD83,00065
1,2,USGS,01010500,"St. John River at Dickey, Maine",47.11305556,-69.08805560,S,NAD83,00065
2,3,USGS,01011000,"Allagash River near Allagash, Maine",47.06972220,-69.07944440,S,NAD83,00065
3,4,USGS,01011500,"St. Francis River near Connors, New Brunswick",47.20697926,-68.95642810,S,NAD83,00065
4,5,USGS,01013500,"Fish River near Fort Kent, Maine",47.23750000,-68.58277778,S,NAD83,00065
5,6,USGS,01014000,"St. John River below Fish R, nr Fort Kent, Maine",47.28333330,-68.58527778,S,NAD83,00065
6,7,USGS,01015800,"Aroostook River near Masardis, Maine",46.52305556,-68.37166670,S,NAD83,00065
7,8,USGS,01017000,"Aroostook River at Washburn, Maine",46.77722220,-68.15722220,S,NAD83,00065
8,9,USGS,01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",46.78361110,-67.98916670,5,NAD83,00065
9,10,USGS,01017290,"Little Madawaska River at Caribou, Maine",46.88861110,-67.94500000,5,NAD83,00065
10,11,USGS,01017550,"Williams Brook at Phair, Maine",46.62805556,-67.95305560,S,NAD83,00065
11,12,USGS,01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",46.10500000,-67.88138889,S,NAD83,00065
12,13,USGS,01018009,"Pearce Brook at Route 1 at Houlton, Maine",46.11527778,-67.84027778,5,NAD83,00065
13,14,USGS,01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",46.18111110,-67.80388889,S,NAD83,00065
14,15,USGS,01018500,"St. Croix River at Vanceboro, Maine",45.56833330,-67.42833330,S,NAD83,00065
15,16,USGS,01019000,"Grand Lake Stream at Grand Lake Stream, Maine",45.17250000,-67.76888889,S,NAD83,00065
16,17,USGS,01021000,"St. Croix River at Baring, Maine",45.13694440,-67.31805560,S,NAD83,00065
17,18,USGS,01021060,"St. Croix River at Calais, Maine",45.19165830,-67.28342220,5,NAD83,00065
18,19,USGS,01021470,"Libby Brook near Northfield, Maine",44.80083330,-67.72500000,S,NAD83,00065
19,20,USGS,01021480,"Old Stream near Wesley, Maine",44.93694440,-67.73611110,S,NAD83,00065
20,21,USGS,01022500,"Narraguagus River at Cherryfield, Maine",44.60805556,-67.93527778,S,NAD83,00065
21,22,USGS,01022840,"Otter Creek near Bar Harbor, Maine",44.33277778,-68.20666670,S,NAD83,00065
22,23,USGS,01027200,"North Branch Penobscot River nr Pittston Farm, ME",45.93527778,-69.99361110,S,NAD83,00065
23,24,USGS,01027240,"S. Br. Penobscot River nr Canada Falls Lake, Maine",45.87392220,-69.99500830,1,NAD83,00065
24,25,USGS,01029200,"Seboeis River near Shin Pond, Maine",46.14305556,-68.63361110,S,NAD83,00065
25,26,USGS,01029500,"East Branch Penobscot River at Grindstone, Maine",45.73027778,-68.58944440,S,NAD83,00065
26,27,USGS,01030350,Wytopitlock Stream near Wytopitlock Maine,45.70861110,-68.15805560,5,NAD83,00065
27,28,USGS,01030500,"Mattawamkeag River near Mattawamkeag, Maine",45.50111110,-68.30583330,S,NAD83,00065
28,29,USGS,01031300,"Piscataquis River at Blanchard, Maine",45.26722220,-69.58388889,S,NAD83,00065
29,30,USGS,01031450,"Kingsbury Stream at Abbot Village, Maine",45.18444440,-69.45222220,S,NAD83,00065
30,31,USGS,01031500,"Piscataquis River near Dover-Foxcroft, Maine",45.17500000,-69.31472220,S,NAD83,00065
31,32,USGS,01031510,"Black Stream near Dover-Foxcroft, Maine",45.15027778,-69.23638889,5,NAD83,00065
32,33,USGS,01033000,"Sebec River at Sebec, Maine",45.27000000,-69.11222220,5,NAD83,00065
33,34,USGS,01034000,"Piscataquis River at Medford, Maine",45.26055556,-68.86861110,S,NAD83,00065
34,35,USGS,01034500,"Penobscot River at West Enfield, Maine",45.23611110,-68.65138889,S,NAD83,00065
35,36,USGS,01036390,"Penobscot River at Eddington, Maine",44.82666667,-68.69666670,S,NAD83,00065
36,37,USGS,01037000,"Kenduskeag Stream near Bangor, Maine",44.86111110,-68.83166670,S,NAD83,00065
37,38,USGS,01037050,"Penobscot River at Bangor, Maine",44.79638889,-68.76777778,5,NAD83,00065
38,39,USGS,01037380,"Ducktrap River near Lincolnville, Maine",44.32916667,-69.06083330,S,NAD83,00065
39,40,USGS,01038000,"Sheepscot River at North Whitefield, Maine",44.22277778,-69.59388889,S,NAD83,00065
40,41,USGS,01042500,"Kennebec River at The Forks, Maine",45.33972220,-69.96194440,S,NAD83,00065
41,42,USGS,01043500,"Dead River near Dead River, Maine",45.22905000,-70.20112778,5,NAD83,00065
42,43,USGS,01044550,"Spencer Stream near Grand Falls, Maine",45.31361110,-70.24166670,S,NAD83,00065
43,44,USGS,01046000,"Austin Stream at Bingham, Maine",45.06444440,-69.88055560,S,NAD83,00065
44,45,USGS,01046500,"Kennebec River at Bingham, Maine",45.05194440,-69.88555560,S,NAD83,00065
45,46,USGS,01047000,"Carrabassett River near North Anson, Maine",44.86916667,-69.95500000,S,NAD83,00065
46,47,USGS,01047150,"Kennebec River near Madison, Maine",44.77888889,-69.88694440,S,NAD83,00065
47,48,USGS,01047200,"Sandy River near Madrid, Maine",44.85777778,-70.48527778,5,NAD83,00065
48,49,USGS,01048000,"Sandy River near Mercer, Maine",44.70805556,-69.93750000,S,NAD83,00065
49,50,USGS,01048220,"East Branch Wesserunsett Stream near Athens, Maine",44.94750000,-69.65694440,5,NAD83,00065
50,51,USGS,01049265,"Kennebec River at North Sidney, Maine",44.47222220,-69.68388889,S,NAD83,00065
51,52,USGS,01049320,"Kennebec River at Calumet Bridge at Augusta, Maine",44.31861110,-69.77166670,S,NAD83,00065
52,53,USGS,01049330,"Kennebec River at Hallowell, Maine",44.28680556,-69.78819440,5,NAD83,00065
53,54,USGS,01049500,"Cobbosseecontee Stream at Gardiner, Maine",44.22916667,-69.77805560,S,NAD83,00065
54,55,USGS,01049505,"Kennebec River at Gardiner, Maine",44.23027778,-69.76944440,S,NAD83,00065
55,56,USGS,01052500,"Diamond River near Wentworth Location, NH",44.87750000,-71.05750000,S,NAD83,00065
56,57,USGS,01053500,"Androscoggin River at Errol, NH",44.78250000,-71.12861110,S,NAD83,00065
57,58,USGS,01053600,Androscoggin River below Bog Brook at Cambridge NH,44.66611110,-71.18138889,S,NAD83,00065
58,59,USGS,01054000,"Androscoggin River near Gorham, NH",44.43583330,-71.19027778,S,NAD83,00065
59,60,USGS,01054114,"Peabody River at Gorham, New Hampshire",44.38131944,-71.17065560,5,NAD83,00065
60,61,USGS,01054200,"Wild River at Gilead, Maine",44.39055556,-70.97972220,S,NAD83,00065
61,62,USGS,01054300,"Ellis River at South Andover, Maine",44.59333330,-70.73305560,S,NAD83,00065
62,63,USGS,01054500,"Androscoggin River at Rumford, Maine",44.55194440,-70.54416670,5,NAD83,00065
63,64,USGS,01055000,"Swift River near Roxbury, Maine",44.64277778,-70.58888889,S,NAD83,00065
64,65,USGS,01055500,"Nezinscot River at Turner Center, Maine",44.26944444,-70.22972220,S,NAD83,00065
65,66,USGS,01057000,"Little Androscoggin River near South Paris, Maine",44.30388889,-70.53972220,S,NAD83,00065
66,67,USGS,01059000,"Androscoggin River near Auburn, Maine",44.07222220,-70.20805560,S,NAD83,00065
67,68,USGS,01060000,"Royal River at Yarmouth, Maine",43.79915000,-70.17826940,5,NAD83,00065
68,69,USGS,01063310,"Stony Brook at East Sebago, Maine",43.85555556,-70.63972220,S,NAD83,00065
69,70,USGS,01064140,"Presumpscot River near West Falmouth, Maine",43.72459720,-70.30293330,5,NAD83,00065
70,71,USGS,010642505,"SACO RIVER AT RIVER STREET, AT BARTLETT, NH",44.08388889,-71.28555560,S,NAD83,00065
71,72,USGS,01064500,"Saco River near Conway, NH",43.99083330,-71.09055560,S,NAD83,00065
72,73,USGS,01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",43.83007396,-71.28784880,S,NAD83,00065
73,74,USGS,01066000,"Saco River at Cornish, Maine",43.80805556,-70.78166670,S,NAD83,00065
74,75,USGS,01067950,"Kennebunk River near Kennebunk, Maine",43.43222220,-70.55333330,5,NAD83,00065
75,76,USGS,01068910,"Mousam River at Route 4 near Sanford, Maine",43.41833330,-70.73805560,5,NAD83,00065
76,77,USGS,01069500,"Mousam River near West Kennebunk, Maine",43.41833330,-70.65833330,5,NAD83,00065
77,78,USGS,01069700,"Branch Brook near Kennebunk, Maine",43.37916667,-70.58333330,5,NAD83,00065
78,79,USGS,01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",43.26841527,-70.97367390,S,NAD83,00065
79,80,USGS,01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",43.23480487,-70.95645070,S,NAD83,00065
80,81,USGS,01073000,"OYSTER RIVER NEAR DURHAM, NH",43.14869550,-70.96506030,S,NAD83,00065
81,82,USGS,01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",43.04138889,-71.20166670,S,NAD83,00065
82,83,USGS,01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",43.10258558,-70.95255900,S,NAD83,00065
83,84,USGS,010735562,"EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH",42.94897557,-71.16478279,S,NAD83,00065
84,85,USGS,01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",42.98453160,-71.03839200,S,NAD83,00065
85,86,USGS,01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",43.03583330,-70.84750000,S,NAD83,00065
86,87,USGS,01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",44.04756690,-71.65980290,S,NAD83,00065
87,88,USGS,01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",43.97617920,-71.67952440,S,NAD83,00065
88,89,USGS,01076000,"BAKER RIVER NEAR RUMNEY, NH",43.79562647,-71.84535940,S,NAD83,00065
89,90,USGS,01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",43.75923880,-71.68563370,S,NAD83,00065
90,91,USGS,01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",43.70388889,-71.83333330,S,NAD83,00065
91,92,USGS,01078000,"SMITH RIVER NEAR BRISTOL, NH",43.56646307,-71.74785700,S,NAD83,00065
92,93,USGS,01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",43.44174376,-71.58757520,S,NAD83,00065
93,94,USGS,01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",43.42285456,-71.65285430,S,NAD83,00065
94,95,USGS,01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",42.86258370,-71.95924609,S,NAD83,00065
95,96,USGS,01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",43.15202370,-71.85730149,S,NAD83,00065
96,97,USGS,01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",43.19285690,-71.74729950,S,NAD83,00065
97,98,USGS,01086000,"WARNER RIVER AT DAVISVILLE, NH",43.25091159,-71.73229960,S,NAD83,00065
98,99,USGS,01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",43.25674759,-71.36951248,S,NAD83,00065
99,100,USGS,01089925,"SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH",43.15980438,-71.40590110,S,NAD83,00065
100,101,USGS,01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",43.01480519,-71.64146129,S,NAD83,00065
101,102,USGS,01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",43.01675000,-71.55062520,S,NAD83,00065
102,103,USGS,01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",42.94814050,-71.46340020,S,NAD83,00065
